entity,share_2020,share_2024_projected,forecast_2027,forecast_2028,forecast_2029,gdp_group,change_2020_to_2029,at_risk
Bangladesh,24.75,19.966659273518758,16.520413312319093,15.37166465858587,14.222916004852648,low,-10.527083995147352,True
El Salvador,19.39,17.009922644502016,15.049823171207253,14.396456680108997,13.743090189010744,mid-low,-5.646909810989257,True
Suriname,14.4,13.874523214711107,13.46876175098023,13.333507929736605,13.198254108492979,mid-low,-1.2017458915070218,True
Dominican Republic,13.98,14.092346671420598,13.454725585612456,13.24218522367641,13.029644861740362,mid-low,-0.9503551382596385,True
Netherlands,8.54,10.553631346144648,12.026178798476552,12.517027949253855,13.007877100031155,high,4.467877100031156,False
Panama,18.91,15.969006789336802,13.775155014651848,13.043871089756863,12.312587164861878,mid-low,-6.5974128351381225,True
Argentina,10.74,11.431544242388249,11.927564882289973,12.092905095590547,12.258245308891121,mid-high,1.518245308891121,False
Mexico,10.34,11.152093292978517,11.710234890534505,11.896282089719833,12.082329288905163,mid-high,1.7423292889051627,False
United States,10.42,11.131633840182818,11.643921710282246,11.814684333648723,11.9854469570152,high,1.5654469570151992,False
Hungary,13.64,12.744888432391939,12.108848677744732,11.896835426195661,11.684822174646593,mid-high,-1.9551778253534078,True
Australia,10.13,10.820510695542964,11.326291380040908,11.494884941540224,11.663478503039538,high,1.5334785030395377,False
Malta,7.7,9.320837066960003,10.50110711856243,10.894530469096573,11.287953819630715,mid-high,3.587953819630715,False
Tunisia,12.2,11.698766417547034,11.43148777788292,11.342394897994883,11.253302018106844,mid-low,-0.9466979818931556,True
Tuvalu,8.2,9.523069355368698,10.485674926281614,10.806543449919253,11.127411973556892,mid-low,2.927411973556893,False
Belgium,10.21,10.560312221183016,10.800716050736392,10.880850660587518,10.960985270438641,high,0.7509852704386404,False
Ukraine,7.44,8.959304343292962,10.049748496530475,10.413229880942978,10.776711265355484,low,3.3367112653554836,False
South Africa,10.5,10.612961383484556,10.698375718489247,10.726847163490811,10.755318608492376,mid-low,0.25531860849237553,False
Armenia,10.34,10.495999980446337,10.597753136298198,10.631670854915484,10.665588573532771,low,0.32558857353277126,False
Japan,7.69,8.840031154799616,9.673116464049848,9.950811567133258,10.228506670216667,high,2.538506670216667,False
Grenada,10.37,10.208378814495543,10.079764337374012,10.036892845000168,9.994021352626325,mid-high,-0.3759786473736746,True
Aruba,7.48,8.44473180397646,9.144337865293078,9.377539885731952,9.610741906170825,high,2.130741906170824,False
Belarus,7.83,8.6273439523247,9.208498203695493,9.402216287485757,9.595934371276021,low,1.7659343712760212,False
Equatorial Guinea,6.58,7.911211746638945,8.896424448661937,9.224828682669603,9.553232916677267,mid-low,2.973232916677267,False
Morocco,10.69,9.803257575942,9.15583887471718,8.940032640975572,8.724226407233964,mid-low,-1.9657735927660358,True
Saint Vincent and the Grenadines,5.68,6.807161300012687,7.611285308274377,7.879326644361607,8.147367980448838,nan,2.467367980448838,False
Saint Lucia,9.75,8.562290621211902,7.761694131887773,7.494828635446396,7.22796313900502,nan,-2.52203686099498,True
Indonesia,19.09,13.566525675940808,9.52197556894861,8.173792199951212,6.825608830953813,low,-12.264391169046187,True
North Macedonia,16.32,11.903474018165129,8.662468295639695,7.5821330547978825,6.50179781395607,mid-low,-9.81820218604393,True
Jamaica,9.09,7.8141013799456704,6.907919149981483,6.6058584066600865,6.303797663338691,mid-low,-2.786202336661309,True
Malaysia,5.11,5.42756140003913,5.6473648475391185,5.720632663372449,5.793900479205778,mid-low,0.6839004792057777,False
New Caledonia,5.4,5.3040611413811956,5.261467375620494,5.247269453700261,5.233071531780027,high,-0.16692846821997342,True
Egypt,5.3,5.208531315348781,5.19298578016723,5.187803935106713,5.182622090046196,nan,-0.11737790995380415,True
Israel,4.47,4.685807629925845,4.848751366392567,4.9030659452148075,4.957380524037048,high,0.48738052403704835,False
Dominica,8.05,6.605842057123885,5.577402485415344,5.23458929484583,4.891776104276317,mid-high,-3.158223895723684,True
Lebanon,5.46,5.180432938186875,4.983147712271621,4.91738597029987,4.851624228328118,mid-low,-0.6083757716718816,True
Mauritius,8.94,7.013422852463023,5.648006558557233,5.192867793921969,4.737729029286705,mid-low,-4.202270970713294,True
Yemen,3.11,3.833507602453293,4.35461865381281,4.528322337599316,4.702026021385821,nan,1.5920260213858213,False
Puerto Rico,2.42,3.0017854438238953,3.4686982812232676,3.624335893689725,3.7799735061561828,high,1.3599735061561828,False
Mongolia,3.32,3.3400102565903538,3.3557224108511763,3.3609597956047836,3.366197180358391,low,0.046197180358391154,False
Barbados,4.31,3.783328656489215,3.3852427544790773,3.252547453809031,3.119852153138985,mid-high,-1.1901478468610147,True
Libya,2.8,2.8900971608325015,2.9553357905829802,2.9770820004998066,2.998828210416633,mid-high,0.19882821041663323,False
Uzbekistan,1.57,1.8965948184263444,2.0445896934673278,2.093921318480989,2.14325294349465,low,0.5732529434946498,False
